"Country or Area","Year","Value"
"Australia","2020","97303.7351683072"
"Australia","2019","99367.7314000717"
"Australia","2018","105796.247541354"
"Australia","2017","105002.791862103"
"Australia","2016","103078.580409683"
"Australia","2015","103955.984361692"
"Australia","2014","103494.595325217"
"Australia","2013","106249.156436759"
"Australia","2012","106641.052870279"
"Australia","2011","106310.044405118"
"Australia","2010","104768.448533726"
"Australia","2009","107797.782980574"
"Australia","2008","109033.21001672"
"Australia","2007","111645.922019151"
"Australia","2006","111294.127712246"
"Australia","2005","112300.305724911"
"Australia","2004","110016.932516031"
"Australia","2003","108530.050761768"
"Australia","2002","115485.968550101"
"Australia","2001","117110.619052842"
"Australia","2000","118052.17644461"
"Australia","1999","114164.527759236"
"Australia","1998","117834.999257818"
"Australia","1997","118004.542337205"
"Australia","1996","115157.293442175"
"Australia","1995","115838.533863639"
"Australia","1994","117269.416880507"
"Australia","1993","120116.183306004"
"Australia","1992","123239.843554797"
"Australia","1991","124199.251540457"
"Australia","1990","125133.249408805"
"Austria","2020","5819.44099899718"
"Austria","2019","5914.32911218532"
"Austria","2018","6047.18102825725"
"Austria","2017","6256.42723057855"
"Austria","2016","6282.52136716284"
"Austria","2015","6353.77525705837"
"Austria","2014","6431.70085792922"
"Austria","2013","6572.80099988259"
"Austria","2012","6680.69154897539"
"Austria","2011","6800.73105991002"
"Austria","2010","7007.82327217762"
"Austria","2009","7116.4484276918"
"Austria","2008","7228.03208157168"
"Austria","2007","7372.40567418188"
"Austria","2006","7492.24498987554"
"Austria","2005","7612.58477699187"
"Austria","2004","7847.12621927825"
"Austria","2003","7852.3154417443"
"Austria","2002","7919.36149717026"
"Austria","2001","8055.08307199452"
"Austria","2000","8224.68513253951"
"Austria","1999","8436.13067295747"
"Austria","1998","8612.59667665258"
"Austria","1997","8780.31561846468"
"Austria","1996","9075.42689292866"
"Austria","1995","9382.09182903982"
"Austria","1994","9466.26301658669"
"Austria","1993","9763.05883294139"
"Austria","1992","9724.87940610079"
"Austria","1991","9999.21781255187"
"Austria","1990","10110.6827043105"
"Belarus","2020","17236.8221181984"
"Belarus","2019","17563.3317002994"
"Belarus","2018","17437.5804641352"
"Belarus","2017","17226.0903625488"
"Belarus","2016","17038.8945180869"
"Belarus","2015","17145.7153434918"
"Belarus","2014","17261.2183963911"
"Belarus","2013","17322.2675991613"
"Belarus","2012","16970.6794376556"
"Belarus","2011","16676.9976542668"
"Belarus","2010","16652.6421214247"
"Belarus","2009","16238.641052791"
"Belarus","2008","16263.4842544949"
"Belarus","2007","16046.8903851914"
"Belarus","2006","16020.1040815398"
"Belarus","2005","15651.210810209"
"Belarus","2004","15200.9308134679"
"Belarus","2003","14962.3797622613"
"Belarus","2002","15021.3871809648"
"Belarus","2001","15104.9784515077"
"Belarus","2000","15224.6683602791"
"Belarus","1999","15403.5496185876"
"Belarus","1998","15726.4039798261"
"Belarus","1997","15733.187000636"
"Belarus","1996","15721.2889421151"
"Belarus","1995","16200.4462582997"
"Belarus","1994","17058.9058062826"
"Belarus","1993","17737.9612841701"
"Belarus","1992","18641.6740863826"
"Belarus","1991","19936.603912319"
"Belarus","1990","20841.8162765245"
"Belgium","2020","7098.80722634026"
"Belgium","2019","7241.60056436466"
"Belgium","2018","7313.03739056"
"Belgium","2017","7386.82264967756"
"Belgium","2016","7544.44007157265"
"Belgium","2015","7589.98113810852"
"Belgium","2014","7577.63830436314"
"Belgium","2013","7723.21055469742"
"Belgium","2012","7874.13677624432"
"Belgium","2011","7916.44086031179"
"Belgium","2010","8151.52462297771"
"Belgium","2009","8175.36850403328"
"Belgium","2008","8239.60338381611"
"Belgium","2007","8406.88379521494"
"Belgium","2006","8510.99519147479"
"Belgium","2005","8597.87083750187"
"Belgium","2004","8818.27393510632"
"Belgium","2003","8876.1681000674"
"Belgium","2002","9395.48830365912"
"Belgium","2001","9796.52659812968"
"Belgium","2000","10217.4102980359"
"Belgium","1999","10629.5556135728"
"Belgium","1998","10869.6611540706"
"Belgium","1997","11043.3193677658"
"Belgium","1996","11160.7086250598"
"Belgium","1995","11297.7651787998"
"Belgium","1994","11233.9780894177"
"Belgium","1993","11203.1006175362"
"Belgium","1992","11400.2806000051"
"Belgium","1991","11477.5934553074"
"Belgium","1990","11517.5973540222"
"Bulgaria","2020","5733.60194510505"
"Bulgaria","2019","5825.25255965009"
"Bulgaria","2018","6072.10083867202"
"Bulgaria","2017","6360.78816442519"
"Bulgaria","2016","6481.04069016743"
"Bulgaria","2015","6642.24997471096"
"Bulgaria","2014","6610.74436106367"
"Bulgaria","2013","6665.79382604494"
"Bulgaria","2012","6750.70700357935"
"Bulgaria","2011","7031.800850478"
"Bulgaria","2010","6772.67782925817"
"Bulgaria","2009","6643.71443431039"
"Bulgaria","2008","6866.7916528631"
"Bulgaria","2007","6939.34427558101"
"Bulgaria","2006","6929.45173921047"
"Bulgaria","2005","7081.66697003975"
"Bulgaria","2004","7425.77404873235"
"Bulgaria","2003","7876.64264411134"
"Bulgaria","2002","7241.40114087785"
"Bulgaria","2001","6943.32017909704"
"Bulgaria","2000","7585.48892555669"
"Bulgaria","1999","7648.38041049706"
"Bulgaria","1998","8034.19656821146"
"Bulgaria","1997","8587.69049750093"
"Bulgaria","1996","8904.38457538466"
"Bulgaria","1995","8899.85733486627"
"Bulgaria","1994","8780.08287418209"
"Bulgaria","1993","10555.6530609743"
"Bulgaria","1992","11671.6409901238"
"Bulgaria","1991","12020.1736014057"
"Bulgaria","1990","13063.800429896"
"Canada","2020","91665.1116551081"
"Canada","2019","108834.82027224"
"Canada","2018","111053.852266119"
"Canada","2017","111153.862481036"
"Canada","2016","111449.841095288"
"Canada","2015","115609.993697502"
"Canada","2014","118363.74742452"
"Canada","2013","117272.403479411"
"Canada","2012","117130.238724876"
"Canada","2011","115375.95490906"
"Canada","2010","115340.161365045"
"Canada","2009","115644.103515506"
"Canada","2008","121882.626364058"
"Canada","2007","123391.799587095"
"Canada","2006","126121.011167702"
"Canada","2005","124307.187000579"
"Canada","2004","122394.147631844"
"Canada","2003","120406.584162648"
"Canada","2002","119776.641560652"
"Canada","2001","119690.576181074"
"Canada","2000","119491.744138005"
"Canada","1999","117175.351685222"
"Canada","1998","115487.711782689"
"Canada","1997","114382.232268459"
"Canada","1996","112370.071885029"
"Canada","1995","109094.149321044"
"Canada","1994","104663.54587635"
"Canada","1993","100808.947481934"
"Canada","1992","97646.9065536868"
"Canada","1991","93076.7590637324"
"Canada","1990","91554.704287013"
"Croatia","2020","3538.70481102474"
"Croatia","2019","3586.38730346128"
"Croatia","2018","3625.69722811969"
"Croatia","2017","3769.1030995647"
"Croatia","2016","3808.71492201633"
"Croatia","2015","3744.44005647689"
"Croatia","2014","3649.85518013552"
"Croatia","2013","3686.15490994967"
"Croatia","2012","3785.40378785935"
"Croatia","2011","3831.99009228389"
"Croatia","2010","3879.37035300139"
"Croatia","2009","3817.84134612179"
"Croatia","2008","3743.10642816902"
"Croatia","2007","3766.99161554165"
"Croatia","2006","3762.84617107634"
"Croatia","2005","3658.07602702458"
"Croatia","2004","3635.09526063925"
"Croatia","2003","3541.93042280123"
"Croatia","2002","3374.10567145903"
"Croatia","2001","3366.00289199919"
"Croatia","2000","3294.2482532566"
"Croatia","1999","3338.30238021486"
"Croatia","1998","3284.99188739398"
"Croatia","1997","3308.66896642012"
"Croatia","1996","3334.52603323475"
"Croatia","1995","3373.09794778428"
"Croatia","1994","3422.12288393306"
"Croatia","1993","3609.20358903229"
"Croatia","1992","3698.52753516606"
"Croatia","1991","4168.36448975362"
"Croatia","1990","4324.93357954722"
"Cyprus","2020","968.102952717748"
"Cyprus","2019","933.285871352391"
"Cyprus","2018","917.351667691711"
"Cyprus","2017","905.206966263433"
"Cyprus","2016","885.800621169896"
"Cyprus","2015","862.209739654428"
"Cyprus","2014","852.755766702068"
"Cyprus","2013","848.988900026068"
"Cyprus","2012","858.218532632989"
"Cyprus","2011","863.134233896465"
"Cyprus","2010","860.537276528381"
"Cyprus","2009","851.744112331947"
"Cyprus","2008","847.073138860968"
"Cyprus","2007","846.887238655565"
"Cyprus","2006","842.33497425576"
"Cyprus","2005","839.482981013414"
"Cyprus","2004","856.232282101762"
"Cyprus","2003","859.57219922538"
"Cyprus","2002","866.751398573265"
"Cyprus","2001","841.728965491105"
"Cyprus","2000","809.239167472266"
"Cyprus","1999","792.284178715944"
"Cyprus","1998","788.061412299956"
"Cyprus","1997","786.597318696039"
"Cyprus","1996","782.803575065071"
"Cyprus","1995","765.194573361393"
"Cyprus","1994","743.06439889171"
"Cyprus","1993","729.039700463195"
"Cyprus","1992","703.498281574571"
"Cyprus","1991","685.082743394903"
"Cyprus","1990","674.173246666504"
"Czechia","2020","11518.664111955"
"Czechia","2019","12091.4325011629"
"Czechia","2018","12380.5390404458"
"Czechia","2017","12493.8143242005"
"Czechia","2016","12688.065291188"
"Czechia","2015","13398.7782626261"
"Czechia","2014","13398.3643984619"
"Czechia","2013","13401.2164152582"
"Czechia","2012","13999.8383363495"
"Czechia","2011","14009.6163449563"
"Czechia","2010","13980.4566075878"
"Czechia","2009","13753.4102649025"
"Czechia","2008","14394.7646534597"
"Czechia","2007","14310.8035385202"
"Czechia","2006","14790.5136268693"
"Czechia","2005","14537.6618305035"
"Czechia","2004","14040.6929671462"
"Czechia","2003","14514.8449215542"
"Czechia","2002","14551.2572190362"
"Czechia","2001","14806.0861107086"
"Czechia","2000","15053.5677813929"
"Czechia","1999","15872.8754218094"
"Czechia","1998","16616.964626899"
"Czechia","1997","17320.8857655688"
"Czechia","1996","17751.836507467"
"Czechia","1995","17926.2699256236"
"Czechia","1994","18348.5026112878"
"Czechia","1993","19489.3844820997"
"Czechia","1992","20396.2776416285"
"Czechia","1991","21812.9915259613"
"Czechia","1990","23372.3031834129"
"Denmark","2020","7164.72860019228"
"Denmark","2019","7148.22021097889"
"Denmark","2018","7314.49466144577"
"Denmark","2017","7271.06757528328"
"Denmark","2016","7272.91517011003"
"Denmark","2015","7209.88698809496"
"Denmark","2014","7283.48266599647"
"Denmark","2013","7324.77922130977"
"Denmark","2012","7415.12607081815"
"Denmark","2011","7523.34104111196"
"Denmark","2010","7688.69538588296"
"Denmark","2009","7625.17909458458"
"Denmark","2008","7760.37138976897"
"Denmark","2007","7878.58406456511"
"Denmark","2006","7906.75840061166"
"Denmark","2005","8016.14927229688"
"Denmark","2004","8256.83181401918"
"Denmark","2003","8432.46065325505"
"Denmark","2002","8410.53708426207"
"Denmark","2001","8468.64711442841"
"Denmark","2000","8229.36893552562"
"Denmark","1999","8302.5349924276"
"Denmark","1998","8409.34587074705"
"Denmark","1997","8355.84620214557"
"Denmark","1996","8471.97480820624"
"Denmark","1995","8361.86276071661"
"Denmark","1994","8286.70541475645"
"Denmark","1993","8406.23864860635"
"Denmark","1992","8212.88717466905"
"Denmark","1991","8143.8813920099"
"Denmark","1990","7953.57887011418"
"Estonia","2020","1095.4550752662"
"Estonia","2019","1098.29953566709"
"Estonia","2018","1093.13519690552"
"Estonia","2017","1095.3488282983"
"Estonia","2016","1084.24290465616"
"Estonia","2015","1095.87163269921"
"Estonia","2014","1190.77502656609"
"Estonia","2013","1217.11047248523"
"Estonia","2012","1224.89669603821"
"Estonia","2011","1208.02386890379"
"Estonia","2010","1253.87276752885"
"Estonia","2009","1245.16587094158"
"Estonia","2008","1231.67199097839"
"Estonia","2007","1247.42429145436"
"Estonia","2006","1230.32812283336"
"Estonia","2005","1239.49727190206"
"Estonia","2004","1268.79580499374"
"Estonia","2003","1252.02560556847"
"Estonia","2002","1243.43306957582"
"Estonia","2001","1295.68544538566"
"Estonia","2000","1259.90824642184"
"Estonia","1999","1225.10860807992"
"Estonia","1998","1311.04726165357"
"Estonia","1997","1353.5814073353"
"Estonia","1996","1296.53272706481"
"Estonia","1995","1284.38026099893"
"Estonia","1994","1333.37643937821"
"Estonia","1993","1375.46075649777"
"Estonia","1992","1606.6257480078"
"Estonia","1991","1846.43177293758"
"Estonia","1990","1912.51520299747"
"European Union","2020","418340.579474867"
"European Union","2019","424208.509820021"
"European Union","2018","433058.620816331"
"European Union","2017","439264.994906588"
"European Union","2016","440451.648493847"
"European Union","2015","447064.376765717"
"European Union","2014","447362.206506644"
"European Union","2013","455064.598623899"
"European Union","2012","465115.007663089"
"European Union","2011","469192.869390414"
"European Union","2010","479262.317045862"
"European Union","2009","490067.068574661"
"European Union","2008","502446.950553997"
"European Union","2007","514321.324387658"
"European Union","2006","523141.948930688"
"European Union","2005","535150.326717901"
"European Union","2004","546533.913992748"
"European Union","2003","564854.894728786"
"European Union","2002","572647.473769388"
"European Union","2001","584023.715483985"
"European Union","2000","594303.677606552"
"European Union","1999","617247.284542212"
"European Union","1998","629050.327100985"
"European Union","1997","644239.083330426"
"European Union","1996","649829.850012352"
"European Union","1995","653492.589717094"
"European Union","1994","653747.60002215"
"European Union","1993","669399.638986004"
"European Union","1992","677472.150044115"
"European Union","1991","691379.14698325"
"European Union","1990","710545.653208869"
"Finland","2020","4401.88032318798"
"Finland","2019","4492.78845290268"
"Finland","2018","4543.91632034658"
"Finland","2017","4611.0246207263"
"Finland","2016","4728.6382854994"
"Finland","2015","4857.0457281959"
"Finland","2014","4894.90885773478"
"Finland","2013","4992.13852094371"
"Finland","2012","5126.05605703848"
"Finland","2011","5178.32623499743"
"Finland","2010","5350.0138529001"
"Finland","2009","5287.11421070219"
"Finland","2008","5353.0095163474"
"Finland","2007","5517.38171107664"
"Finland","2006","5642.23524682638"
"Finland","2005","5583.07085195137"
"Finland","2004","5821.62508109541"
"Finland","2003","6004.62304142787"
"Finland","2002","6208.45623840904"
"Finland","2001","6433.66438877208"
"Finland","2000","6566.26575739321"
"Finland","1999","6834.09521133558"
"Finland","1998","7005.65657945703"
"Finland","1997","7272.35282113435"
"Finland","1996","7352.88221743926"
"Finland","1995","7425.68073296359"
"Finland","1994","7630.42124271165"
"Finland","1993","7660.18231498943"
"Finland","1992","7619.70592311138"
"Finland","1991","7669.11441174038"
"Finland","1990","7687.12652497904"
"France","2020","55122.8110256096"
"France","2019","56226.2285227887"
"France","2018","56702.7737259196"
"France","2017","57472.3317651526"
"France","2016","57892.0480141886"
"France","2015","58318.7649289079"
"France","2014","59233.2307701812"
"France","2013","59520.6500617831"
"France","2012","59680.2352361364"
"France","2011","60914.6675382403"
"France","2010","62090.6019724658"
"France","2009","62388.5442734749"
"France","2008","63509.6123206652"
"France","2007","63236.0981022489"
"France","2006","63517.2800805811"
"France","2005","64054.3688682562"
"France","2004","64989.9753000697"
"France","2003","66350.1723113087"
"France","2002","67321.2200032468"
"France","2001","68899.8698764511"
"France","2000","69026.5674496149"
"France","1999","68663.0098418218"
"France","1998","68695.8404092571"
"France","1997","68646.106447421"
"France","1996","69883.1645104582"
"France","1995","70791.8523250588"
"France","1994","70394.1065686914"
"France","1993","70524.8590476141"
"France","1992","70124.2646676076"
"France","1991","70039.6001338344"
"France","1990","69559.9777841378"
"Germany","2020","49015.3424495547"
"Germany","2019","49944.0503347547"
"Germany","2018","52006.9002014147"
